"Код 
исследования",Наименование исследования,Используемый  материал,Результат исследования,Срок* (рабочие дни) ,Возможность срочного выполнения,Цена,Описание,Подготовка,Клиническая информация,Интерпритация результатов
"40,297","Андрогены, глюкокортикоиды, минералокортикоиды, прогестагены, их предшественники и метаболиты ПЛЮС (13  показателей): 17-ОН-прегненолон, тестостерон, дегидроэпиандростерон, дегидроэпиандростерон-сульфат (ДГЭА-SO4), андростендион, кортизол, кортизон, 11-дезоксикортизол, 21-дезоксикортизол, дезоксикортикостерон (21-гидроксипрогестерон, 11-деоксикортикостерон), кортикостерон, прогестерон, 17-гидроксипрогестерон в крови",кровь (сыворотка),кол,10,,"7950,00",,,,
"40,298","Кортизол (утренняя, дневная, вечерняя и ночная порции), дегидроэпиандростерон (ДГЭА), соотношение ДГЭА и кортизола (маркер стрессоустойчивости) в слюне, выявление стресса и его стадии,",слюна 4 контейнера,кол,5,,"6300,00",,,,
"40,299","Эстрогены и их метаболиты: эстрадиол, эстрон, эстриол, 16а-ОНЕ1, 2-ОНЕ2, 2-ОНЕ1, 2-ОМеЕ1, 4-ОМеЕ1, 4-ОНЕ1 и расчет соотношений; прегнандиол - метаболит прогестерона (10 показателей) в моче",моча суточная,кол,11,,"7200,00",,,,
"40,301","Метаболиты эстрогенов, расчет соотношения (оценка риска развития онкопатологии): 16а-ОНЕ1, 2-ОНЕ2, 2-ОНЕ1, 2-ОМеЕ1, 4-ОМеЕ1, 4-ОНЕ1 - в моче",моча ,кол,11,,"5700,00",,,,
"40,302",Кортизол в слюне (одна порция),слюна ,кол,5,,"1500,00",,,,
"40,303","Эстрогены: эстрадиол, эстрон и эстриол в крови",кровь (сыворотка),кол,11,,"2000,00",,,,
"40,304","Андрогены, глюкокортикоиды, минералокортикоиды, прогестогены, их предшественники и метаболиты (12 показателей): тестостерон, дегидроэпиандростерон, андростендион, 17-ОН-прегненолон, кортизол, кортизон, 11-дезоксикортизол, 21-дезоксикортизол, 17-гидроксипрогестерон, дезоксикортикостерон (21-гидроксипрогестерон, 11-деоксикортикостерон), кортикостерон, прогестерон в крови",кровь (сыворотка),кол,5,,"8100,00",,,,
"40,305",Дегидроэпиандростерон-сульфат (ДГЭА-SO4) в крови,кровь (сыворотка),кол,10,,"1700,00",,,,
"40,306","Андрогены, глюкокортикоиды, минералокортикоиды, эстрогены, прогестагены, их предшественники и метаболиты (16 показателей): 17-ОН-прегненолон, тестостерон, дегидроэпиандростерон, дегидроэпиандростерон-сульфат (ДГЭА-SO4), андростендион, кортизол, кортизон, 11-дезоксикортизол, 21-дезоксикортизол, дезоксикортикостерон (21-гидроксипрогестерон, 11-деоксикортикостерон), кортикостерон, эстрадиол, эстрон, эстриол, прогестерон, 17-гидроксипрогестерон в крови",кровь (сыворотка),кол,10,,"6600,00",,,,
"40,307","Андрогены, глюкокортикоиды, минералокортикоиды, эстрогены, прогестагены, их предшественники и метаболиты (17 показателей): 17-ОН-прегненолон, тестостерон, дегидроэпиандростерон, дегидроэпиандростерон-сульфат (ДГЭА-SO4), андростендион, кортизол, кортизон, 11-дезоксикортизол, 21-дезоксикортизол, дезоксикортикостерон (21-гидроксипрогестерон, 11-деоксикортикостерон), кортикостерон, альдостерон, эстрадиол, эстрон, эстриол, прогестерон, 17-гидроксипрогестерон в крови",кровь (сыворотка),кол,10,,"7950,00",,,,
"40,308","Кортизол в слюне (утренняя порция 8:00, вечерняя порция 23:00)",слюна,кол,5,,"2400,00",,,,
"40,309","Эстрогены и прогестагены (4 показателя): эстрадиол, эстрон, эстриол, прегнандиол в моче",моча (суточная),кол,10,,"6800,00",,,,
"40,310","Андрогены и их метаболиты (8 показателей), расчет соотношений: дегидроэпиандростерон (ДГЭА), андростендион, тестостерон, андростерон, эпиандростерон, этиохоланолон, эпитестостерон, прегнантриол в моче",моча (суточная),кол,10,,"4400,00",,,,
"40,311","Андрогены и их метаболиты, расчет соотношений, эстрогены и прогестагены (12 показателей): дегидроэпиандростерон (ДГЭА), андростендион, тестостерон, андростерон, эпиандростерон, этиохоланолон, эпитестостерон, прегнантриол, эстрадиол, эстрон, эстриол, прегнандиол в моче",моча (суточная),кол,10,,"8100,00",,,,
"40,312","Андрогены, глюкокортикоиды, минералокортикоиды, эстрогены, прогестагены, их предшественники и метаболиты (13 показателей) в слюне: тестостерон, дегидроэпиандростерон, андростендион, кортизол, кортизон, 11-дезоксикортизол, кортикостерон, альдостерон, эстрадиол, эстрон, эстриол, прогестерон, 17-ОН-прогестерон – исследование для лиц старше 18 лет",слюна,кол,16,,"9750,00",,,,
"40,313","Андрогены, глюкокортикоиды, эстрогены, прогестагены, их предшественники и метаболиты (8 показателей) в слюне: тестостерон, дегидроэпиандростерон, андростендион, кортизол, кортизон, эстрадиол, прогестерон, 17-ОН-прогестерон – исследование для лиц старше 18 лет",слюна,кол,16,,"6800,00",,,,
"40,314","Андрогены, глюкокортикоиды, эстрогены, прогестагены (4 показателя) в слюне: тестостерон, кортизол, эстрадиол, прогестерон – исследование для лиц старше 18 лет",слюна,кол,16,,"4800,00",,,,
"40,315","Кортизол, кортизон, 6-гидроксикортизол и их соотношения в моче",моча (суточная),кол,11,,"4900,00",,,,
,Стероидные гормоны и их метаболиты,,,,,,,,,
"40,320",Андростендион в крови (ВЭЖХ-МС/МС),кровь (сыворотка),кол,5,,"1950,00",,,,
"40,321",Тестостерон в крови (ВЭЖХ-МС/МС),кровь (сыворотка),кол,5,,"1500,00",,,,
"40,322",Прогестерон в крови (ВЭЖХ-МС/МС),кровь (сыворотка),кол,5,,"1500,00",,,,
